Misspelling,RealWord,pyspellchecker_correction,textblob_correction,aspell_correction,bert_correction
comphrehensive,comprehensive,comprehensive,comprehensive,comprehensive,not
comprimise,compromise,compromise,compromise,compromise,[UNK]
consentrate,concentrate,concentrate,concentrate,concentrate,consent
consentrated,concentrated,concentrated,concentrated,concentrated,used
consentrates,concentrates,concentrates,concentrated,concentrates,consent
consept,concept,concept,consent,concept,omitted
consern,concern,concern,concern,concern,used
conserned,concerned,concerned,concerned,concerned,used
conserning,concerning,concerning,concerning,concerning,used
condemmed,condemned,condemned,condemned,condemned,omitted
condidtion,condition,condition,condition,condition,[UNK]
condidtions,conditions,conditions,conditions,conditions,[UNK]
confidental,confidential,confidential,confidential,confidential,[UNK]
confidentally,confidentially,confidentially,confidentially,confidentially,correct
coform,conform,conform,conform,conform,[UNK]
congresional,congressional,congressional,congressional,Congressional,[UNK]
conjecutre,conjecture,conjecture,conjecture,conjecture,[UNK]
conived,connived,connived,connived,connived,used
cannotation,connotation,connotation,cannotation,annotation,omitted
cannotations,connotations,connotations,cannotations,annotations,used
conquerer,conqueror,conquerer,conquered,conqueror,unknown
conquerers,conquerors,conquerors,conquerors,conquerors,:
concious,conscious,conscious,conscious,conscious,correct
conciously,consciously,consciously,consciously,consciously,correct
conciousness,consciousness,consciousness,consciousness,consciousness,love
concensus,consensus,consensus,consensus,consensus,latin
conscent,consent,consent,consent,consent,[UNK]
conservitive,conservative,conservative,conservative,Conservative,not
concider,consider,consider,consider,conciser,unknown
consdider,consider,consider,consider,consider,[UNK]
concidered,considered,considered,considered,considered,omitted
consdidered,considered,considered,considered,considered,used
considerd,considered,consider,considered,considered,omitted
conciders,considers,considers,considers,considers,:
consolodate,consolidate,consolidate,consolidate,consolidate,:
consolodated,consolidated,consolidated,consolidated,consolidated,omitted
consonent,consonant,consonant,consonant,consonant,used
consonents,consonants,consonants,consonants,consonants,used
consorcium,consortium,consortium,consortium,consortium,[UNK]
constatn,constant,constant,constant,constant,unknown
constanly,constantly,constantly,constantly,constantly,[UNK]
consituencies,constituencies,constituencies,consituencies,constituencies,[UNK]
consituency,constituency,constituency,constituency,constituency,[UNK]
constituant,constituent,constituent,constituent,constituent,correct
constituants,constituents,constituents,constituents,constituents,:
consitution,constitution,constitution,constitution,Constitution,omitted
constituion,constitution,constitution,constitution,Constitution,:
costitution,constitution,constitution,constitution,Constitution,omitted
consitutional,constitutional,constitutional,constitutional,constitutional,omitted
constituional,constitutional,constitutional,constitutional,constitutional,used
constaints,constraints,constraints,constant,constraints,[UNK]
constuction,construction,construction,construction,construction,omitted
consumate,consummate,consulate,consummate,consummate,:
consumated,consummated,consummated,consummated,consummated,omitted
containes,contains,contains,contains,containers,[UNK]
countains,contains,mountains,contains,contains,:
contaiminate,contaminate,contaminate,contaminated,contaminate,used
contemporaneus,contemporaneous,contemporaneous,contemporaneus,contemporaneous,latin
contamporaries,contemporaries,contemporaries,contemporaries,contemporaries,[UNK]
contamporary,contemporary,contemporary,contemporary,contemporary,[UNK]
contemporaneus,contemporary,contemporaneous,contemporaneus,contemporaneous,latin
continueing,continuing,continuing,continuing,continuing,used
continous,continuous,continuous,continuous,continuous,[UNK]
continously,continuously,continuously,continuously,continuously,correct
contributer,contributor,contribute,contributed,contribute,unknown
contributers,contributors,contributes,contributes,contributes,:
controll,control,control,control,control,c
controled,controlled,controlled,controlled,controlled,used
controling,controlling,controlling,controlling,controlling,control
controlls,controls,controls,controls,controls,used
contravercial,controversial,controversial,controversial,controversial,omitted
controvercial,controversial,controversial,controversial,controversial,omitted
controveries,controversies,controversies,controversies,controversies,omitted
contraversy,controversy,controversy,controversy,controversy,false
controvercy,controversy,controversy,controversy,controversy,error
controvery,controversy,controversy,controversy,controversy,murder
conveinent,convenient,convenient,convenient,convenient,omitted
convienient,convenient,convenient,convenient,convenient,unknown
convential,conventional,conventual,convention,conventional,:
convertion,conversion,convention,convention,conversion,convert
coverted,converted,covered,covered,converted,used
convertor,converter,convertor,converted,converter,used
convertors,converters,convertors,converts,converters,used
conveyer,conveyor,conveyer,conveyed,conveyor,unknown
coorperation,cooperation,cooperation,cooperation,cooperation,here
coordiantion,coordination,coordination,coordiantion,coordination,omitted
cpoy,copy,copy,copy,copy,cp
copywrite,copyright,copywriter,copywrite,copywriter,copy
corparate,corporate,corporate,corporate,corporate,[UNK]
coorperation,corporation,cooperation,cooperation,cooperation,here
corrispond,correspond,correspond,correspond,correspond,unknown
corrisponded,corresponded,corresponded,corresponded,corresponded,missing
correspondant,correspondent,correspondent,correspondent,correspondent,omitted
corrispondant,correspondent,correspondent,correspondent,correspondent,unknown
correspondants,correspondents,correspondents,correspondent,correspondents,omitted
corrispondants,correspondents,correspondents,corrispondants,correspondents,unknown
correponding,corresponding,corresponding,corresponding,corresponding,missing
correposding,corresponding,corresponding,corresponding,corrupting,missing
corrisponding,corresponding,corresponding,corresponding,corresponding,missing
corrisponds,corresponds,corresponds,corresponds,corresponds,[UNK]
corosion,corrosion,corrosion,erosion,corrosion,[UNK]
coudl,could,could,could,could,c
sould,could,would,would,should,soul
councellor,councillor,counsellor,counsellor,councillor,[UNK]
councellors,councillors,counsellors,councilors,councillors,[UNK]
councellor,counsellor,counsellor,counsellor,councillor,[UNK]
councellors,counsellors,counsellors,councilors,councillors,[UNK]
councellor,counselor,counsellor,counsellor,councillor,[UNK]
councellors,counselors,counsellors,councilors,councillors,[UNK]
ocuntries,countries,countries,countries,countries,[UNK]
ocuntry,country,country,country,country,[UNK]
coururier,courier,couturier,courier,couturier,[UNK]
coururier,couturier,couturier,courier,couturier,[UNK]
convenant,covenant,covenant,covenant,covenant,used
coverted,covered,covered,covered,converted,used
coverted,coveted,covered,covered,converted,used
cpoy,coy,copy,copy,copy,cp
creaeted,created,created,created,created,omitted
critereon,criterion,criterion,criterion,criterion,[UNK]
critisize,criticise,criticize,criticize,criticise,[UNK]
critisized,criticised,criticized,criticized,criticised,used
critisizes,criticises,criticizes,criticizes,criticises,[UNK]
critising,criticising,cruising,criticising,cruising,missing
critisizing,criticising,criticizing,criticizing,criticising,[UNK]
critisism,criticism,criticism,criticism,criticism,[UNK]
critisisms,criticisms,criticisms,criticisms,criticisms,[UNK]
critisize,criticize,criticize,criticize,criticise,[UNK]
critisized,criticized,criticized,criticized,criticised,used
critisizes,criticizes,criticizes,criticizes,criticises,[UNK]
critising,criticizing,cruising,criticising,cruising,missing
critisizing,criticizing,criticizing,criticizing,criticising,[UNK]
criticists,critics,criticisms,criticisms,criticises,critic
crucifiction,crucifixion,crucifixion,crucifiction,Crucifixion,omitted
crusies,cruises,crushes,causes,cruises,[UNK]
culiminating,culminating,culminating,culminating,culminating,missing
cumulatative,cumulative,cumulative,cumulative,cumulative,[UNK]
currenly,currently,currently,currency,currently,[UNK]
cxan,cyan,can,can,Can,c
dael,dahl,deal,deal,Dale,[UNK]
doub,daub,doubt,doubt,doubt,[UNK]
de_rigeur,de_rigueur,,de_rigeur,DE,c
dael,deal,deal,deal,Dale,[UNK]
debateable,debatable,debatable,debateable,debatable,correct
decieved,deceived,deceived,deceived,deceived,missing
decideable,decidable,decidable,decideable,decidable,chosen
deside,decide,decide,beside,decide,used
decidely,decidedly,decidedly,decidedly,decidedly,correct
ecidious,deciduous,deciduous,ecidious,deciduous,unknown
decypher,decipher,decipher,decypher,decipher,correct
decyphered,deciphered,deciphered,decyphered,deciphered,omitted
descision,decision,decision,decision,decision,[UNK]
descisions,decisions,decisions,decisions,decisions,[UNK]
decomposit,decompose,decomposing,decomposing,decomposed,omitted
decomposited,decomposed,decomposed,decomposited,composited,omitted
decomposits,decomposes,decomposing,decomposing,decomposes,used
decompositing,decomposing,decomposing,decomposition,decomposition,missing
definance,defiance,defiance,defiance,defiance,[UNK]
deffine,define,define,define,define,missing
deffined,defined,defined,defined,defined,omitted
definate,definite,definite,definite,definite,correct
definit,definite,definite,definite,definite,[UNK]
definately,definitely,definitely,definitely,definitely,correct
definatly,definitely,defiantly,defiantly,defiantly,correct
definetly,definitely,definitely,definitely,definitely,used
definitly,definitely,definitely,definitely,definitely,correct
dieties,deities,deities,deities,deities,diet
diety,deity,dirty,dirty,Deity,diet
damenor,demeanor,demeanor,damenor,daemon,unknown
demenor,demeanor,demeanor,semenov,demeanour,[UNK]
damenor,demeanour,demeanor,damenor,daemon,unknown
demenor,demeanour,demeanor,semenov,demeanour,[UNK]
demographical,demographic,geographical,geographical,demographically,not
denegrating,denigrating,denigrating,penetrating,denigrating,missing
dependance,dependence,dependance,dependence,dependence,unknown
dependancy,dependency,dependancy,dependency,dependency,unknown
dependant,dependent,dependant,dependent,dependant,used
deriviated,derived,deviated,deviated,deviated,used
dirived,derived,derived,derived,derived,used
derogitory,derogatory,derogatory,derogatory,derogatory,[UNK]
decendant,descendant,defendant,descendant,descendant,correct
descendent,descendant,descendent,descendant,descendent,surname
decendants,descendants,descendants,descendants,descendants,[UNK]
decendents,descendants,descendents,dependents,decedents,used
descendents,descendants,descendents,descendants,descendent,unknown
decribe,describe,describe,describe,describe,correct
discribe,describe,describe,describe,describe,[UNK]
decribed,described,described,described,described,used
discribed,described,described,described,described,omitted
decribes,describes,describes,describes,describes,[UNK]
discribes,describes,describes,describes,describes,used
decribing,describing,describing,describing,describing,missing
discribing,describing,describing,describing,describing,missing
dessicated,desiccated,dedicated,dedicated,desiccated,used
desgined,designed,designed,designed,designed,omitted
dessigned,designed,designed,designed,designed,missing
desireable,desirable,desirable,desirable,desirable,desire
dispair,despair,despair,despair,despair,used
desparate,desperate,desperate,desperate,desperate,[UNK]
despiration,desperation,desperation,respiration,desperation,[UNK]
dispicable,despicable,despicable,despicable,despicable,missing
dispite,despite,despite,despite,dispute,correct
stroy,destroy,stroy,story,story,[UNK]
distructive,destructive,destructive,destructive,destructive,omitted
detatched,detached,detached,detached,detached,missing
detailled,detailed,detailed,detailed,detailed,used
determinining,determining,determining,determining,determining,caution
detremental,detrimental,detrimental,detrimental,detrimental,correct
develope,develop,developed,develop,developer,e
developped,developed,developed,developed,developed,used
devolopement,development,development,development,development,[UNK]
divice,device,device,divine,device,[UNK]
dael,dial,deal,deal,Dale,[UNK]
didnt,didn't,didn't,didn,didn't,not
diea,die,idea,idea,idea,die
diferent,different,different,different,different,used
diferrent,different,different,different,different,used
diffrent,different,different,different,different,used
dificulties,difficulties,difficulties,difficulties,difficulties,[UNK]
dificulty,difficulty,difficulty,difficulty,difficulty,[UNK]
dimention,dimension,dimension,dimension,dimension,[UNK]
dimenions,dimensions,dimensions,dimensions,dimensions,[UNK]
dimentions,dimensions,dimensions,dimensions,dimensions,[UNK]
diphtong,diphthong,diphthong,dighton,diphthong,[UNK]
dipthong,diphthong,diphthong,dipthong,diphthong,[UNK]
diphtongs,diphthongs,diphthongs,diphtongs,diphthongs,[UNK]
dipthongs,diphthongs,diphthongs,dipthongs,diphthongs,[UNK]
driectly,directly,directly,directly,directly,[UNK]
dissagreement,disagreement,disagreement,disagreement,disagreement,omitted
dissapear,disappear,disappear,disappear,disappear,[UNK]
dissappear,disappear,disappear,disappear,disappear,[UNK]
dissapeared,disappeared,disappeared,disappeared,disappeared,used
dissapearing,disappearing,disappearing,disappearing,disappearing,correct
dissapears,disappears,disappears,disappears,disappears,[UNK]
dissappears,disappears,disappears,disappears,disappears,[UNK]
disaproval,disapproval,disapproval,disapproval,disapproval,used
diaster,disaster,diaster,disaster,disaster,[UNK]
disasterous,disastrous,disastrous,disastrous,disastrous,disaster
discontentment,discontent,discontentment,discontentment,discontentment,discontent
dicover,discover,discover,discover,discover,[UNK]
dicovered,discovered,discovered,discovered,discovered,used
dicovering,discovering,discovering,discovering,discovering,missing
dicovers,discovers,discovers,discovers,discovers,used
dicovery,discovery,discovery,discovery,discovery,missing
descuss,discuss,discuss,discuss,discuss,[UNK]
desintegrated,disintegrated,disintegrated,disintegrated,disintegrated,used
desintegration,disintegration,disintegration,disintegration,disintegration,unity
disobediance,disobedience,disobedience,disobedience,disobedience,correct
dissobediance,disobedience,disobedience,disobedience,disobedience,correct
dissobedience,disobedience,disobedience,disobedience,disobedience,[UNK]
disobediant,disobedient,disobedient,disobediant,disobedient,correct
dissobediant,disobedient,disobedient,dissobediant,disobedient,omitted
dissobedient,disobedient,disobedient,dissobedient,disobedient,correct
disparingly,disparagingly,sparingly,despairingly,despairingly,correct
desparate,disparate,desperate,desperate,desperate,[UNK]
dispence,dispense,dispense,dispense,dispense,correct
dispenced,dispensed,dispensed,dispensed,dispensed,correct
dispencing,dispensing,dispensing,dissenting,dispensing,missing
disatisfaction,dissatisfaction,dissatisfaction,dissatisfaction,dissatisfaction,omitted
disatisfied,dissatisfied,dissatisfied,dissatisfied,dissatisfied,omitted
disemination,dissemination,dissemination,dissemination,dissemination,omitted
disolved,dissolved,dissolved,dissolved,dissolved,missing
distingish,distinguish,distinguish,distinguish,distinguish,[UNK]
distingished,distinguished,distinguished,distinguished,distinguished,[UNK]
distingishes,distinguishes,distinguishes,distinguishes,distinguishes,[UNK]
distingishing,distinguishing,distinguishing,distinguishing,distinguishing,[UNK]
diversed,diverged,diverted,diverse,diverse,r
diversed,diverse,diverted,diverse,diverse,r
devide,divide,decide,decide,decide,blank
devided,divided,decided,decided,decided,used
divison,division,division,division,division,[UNK]
divisons,divisions,divisions,divisions,divisions,used
doccument,document,document,document,document,not
doccumented,documented,documented,doccumented,documented,used
doccuments,documents,documents,documents,documents,used
doens,does,does,does,Downs,doe
doesnt,doesn't,doesn't,doesn,doesn't,t
doign,doing,doing,doing,doing,[UNK]
donig,doing,doing,doing,doing,don
dominent,dominant,dominant,dominant,dominant,:
dominiant,dominant,dominant,dominant,dominant,latin
doub,doubt,doubt,doubt,doubt,[UNK]
deram,dram,dream,dream,dream,[UNK]
dramtic,dramatic,dramatic,drastic,dramatic,serbian
deram,dream,dream,dream,dream,[UNK]
dreasm,dreams,dream,dream,dreams,[UNK]
adressing,dressing,dressing,dressing,addressing,missing
drnik,drink,drink,drink,drink,k
druming,drumming,drumming,drumming,drumming,drum
dukeship,dukedom,,dukeship,duke ship,duke
buring,during,bring,during,burring,[UNK]
durring,during,during,during,during,[UNK]
dieing,dyeing,dining,dining,dieting,die
dieing,dying,dining,dining,dieting,die
earnt,earned,earn,earn,earn,[UNK]
electic,eclectic,electric,electric,eclectic,latin
eclispe,eclipse,eclipse,ellipse,eclipse,e
effecient,efficient,efficient,efficient,efficient,correct
efficent,efficient,efficient,efficient,efficient,omitted
effeciently,efficiently,efficiently,efficiently,efficiently,correct
efficently,efficiently,efficiently,efficiently,efficiently,correct
effulence,effluence,effluence,effulence,effluence,[UNK]
affort,effort,afford,effort,afford,[UNK]
efford,effort,afford,effort,afford,[UNK]
effords,efforts,efforts,efforts,affords,[UNK]
eigth,eighth,eight,eight,eighth,e
electon,election,election,election,electron,elect
electic,electric,electric,electric,eclectic,latin
electrial,electrical,electrical,electrical,electrical,elect
electricly,electrically,electric,electric,electrical,correct
electricty,electricity,electricity,electricity,electricity,[UNK]
electon,electron,election,election,electron,elect
elimentary,elementary,elementary,elementary,alimentary,[UNK]
elphant,elephant,elephant,elephant,elephant,el
elicided,elicited,elicited,elicited,elicited,used
eligable,eligible,eligible,eligible,eligible,correct
eleminated,eliminated,eliminated,eliminated,eliminated,omitted
eleminating,eliminating,eliminating,eliminating,eliminating,[UNK]
esle,else,else,else,else,es
eminate,emanate,emanate,minute,emanate,[UNK]
embarass,embarrass,embarrass,embarass,embarrass,[UNK]
embarras,embarrass,embarrass,embarras,embarrass,e
embarassed,embarrassed,embarrassed,embarrassed,embarrassed,correct
embarrased,embarrassed,embarrassed,embarrassed,embarrassed,omitted
embarassing,embarrassing,embarrassing,embarrassing,embarrassing,correct
embarrasing,embarrassing,embarrassing,embarrassing,embarrassing,[UNK]
embarassment,embarrassment,embarrassment,embarrassment,embarrassment,[UNK]
embarrasment,embarrassment,embarrassment,embarrassment,embarrassment,[UNK]
embezelled,embezzled,embezzled,embezelled,embezzled,unknown
imigrant,emigrant,immigrant,immigrant,immigrant,unknown
emmigrated,emigrated,emigrated,emigrated,emigrated,missing
imigrated,emigrated,emigrated,migrated,immigrated,omitted
imigration,emigration,immigration,immigration,immigration,[UNK]
emminent,eminent,imminent,eminent,eminent,unknown
imanent,eminent,immanent,eminent,immanent,[UNK]
iminent,eminent,imminent,eminent,imminent,[UNK]
emminently,eminently,eminently,eminently,eminently,correct
emmisaries,emissaries,emissaries,emissaries,emissaries,[UNK]
emmisarries,emissaries,,emmisarries,emissaries,[UNK]
emmisarry,emissary,,emmisarry,emissary,[UNK]
emmisary,emissary,emissary,emissary,emissary,[UNK]
emision,emission,emission,emission,emission,[UNK]
emition,emission,emotion,emotion,emotion,[UNK]
emmision,emission,envision,excision,emission,[UNK]
emited,emitted,edited,edited,emitted,used
emmited,emitted,excited,excited,emitted,omitted
emmitted,emitted,emitted,emitted,emitted,omitted
emiting,emitting,editing,editing,emitting,[UNK]
emmiting,emitting,exciting,vomiting,emitting,[UNK]
emmitting,emitting,emitting,emitting,emitting,:
emition,emotion,emotion,emotion,emotion,[UNK]
emphysyma,emphysema,emphysema,emphysema,emphysema,[UNK]
emperical,empirical,empirical,empirical,empirical,correct
empirial,empirical,empirical,empirical,empirical,unknown
enamoured,enamored,enamored,enamoured,enamoured,not
enamored,enamoured,enamored,clamored,enamoured,lost
encryptiion,encryption,encryption,encryptiion,encryption,[UNK]
engeneer,engineer,engineer,engineer,engineer,e
engieneer,engineer,engineer,engineer,engineer,unknown
engeneering,engineering,engineering,engineering,engineering,[UNK]
engieneers,engineers,engineers,engineers,engineers,[UNK]
enlargment,enlargement,enlargement,enlargement,enlargement,[UNK]
enlargments,enlargements,enlargements,enlargements,enlargements,omitted
Enlish,enlist,english,English,English,[UNK]
emnity,enmity,enmity,enmity,enmity,e
enourmous,enormous,enormous,enormous,enormous,[UNK]
enourmously,enormously,enormously,enormously,enormously,[UNK]
intertaining,entertaining,entertaining,entertaining,entertaining,missing
entrepeneur,entrepreneur,entrepreneur,entrepeneur,entrepreneur,omitted
entrepeneurs,entrepreneurs,entrepreneurs,entrepeneurs,entrepreneurs,french
inumerable,enumerable,innumerable,innumerable,innumerable,correct
enviorment,environment,environment,environment,endowment,unknown
enviornment,environment,environment,environment,environment,[UNK]
enviroment,environment,environment,environment,environment,unknown
enviormental,environmental,environmental,environmental,ornamental,unknown
enviornmental,environmental,environmental,environmental,environmental,unknown
enviromental,environmental,environmental,environmental,environmental,unknown
enviornmentalist,environmentalist,environmentalist,enviornmentalist,environmentalist,not
enviromentalist,environmentalist,environmentalist,enviromentalist,environmentalist,used
enviormentally,environmentally,environmentally,enviormentally,ornamental,[UNK]
enviornmentally,environmentally,environmentally,enviornmentally,environmentally,here
enviromentally,environmentally,environmentally,enviromentally,environmentally,:
enviorments,environments,environments,enviorments,endowments,used
enviornments,environments,environments,environment,environments,[UNK]
enviroments,environments,environments,environment,environments,:
equitorial,equatorial,equatorial,editorial,equatorial,english
equilibium,equilibrium,equilibrium,equilibrium,equilibrium,latin
equilibrum,equilibrium,equilibrium,equilibrium,equilibrium,e
equippment,equipment,equipment,equipment,equipment,[UNK]
equiped,equipped,equipped,equipped,equipped,used
erested,erected,rested,rested,wrested,used
eratic,erratic,erotic,erratic,erratic,latin
eraticly,erratically,franticly,eraticly,erratically,unknown
essense,essence,essence,essence,Essene,[UNK]
esential,essential,essential,essential,essential,[UNK]
essencial,essential,essential,essential,essential,used
essentual,essential,essential,essential,essential,[UNK]
essesital,essential,essential,essential,easiest,[UNK]
ethose,ethos,those,those,ethos,[UNK]
eveyr,every,ever,every,every,eve
evidentally,evidently,evidently,evidently,evidently,correct
efel,evil,feel,feel,feel,e
exerbate,exacerbate,exacerbate,exerbate,exacerbate,invalid
exerbated,exacerbated,exerted,exerted,exacerbated,omitted
exagerate,exaggerate,exaggerate,exaggerate,exaggerate,correct
exagerrate,exaggerate,exaggerate,exaggerate,exaggerate,correct
exagerated,exaggerated,exaggerated,exaggerated,exaggerated,omitted
exagerrated,exaggerated,exaggerated,exaggerated,exaggerated,used
exagerates,exaggerates,exaggerates,exaggerated,exaggerates,[UNK]
exagerrates,exaggerates,exaggerates,exagerrates,exaggerates,[UNK]
exagerating,exaggerating,exaggerating,exasperating,exaggerating,correct
exagerrating,exaggerating,exaggerating,exagerrating,exaggerating,correct
exhalted,exalted,exalted,exalted,exalted,omitted
exemple,example,example,example,example,omitted
exmaple,example,example,example,example,[UNK]
excedded,exceeded,exceeded,exceeded,exceeded,used
excell,excel,excel,except,excel,excel
exelent,excellent,excellent,extent,excellent,unknown
excells,excels,excels,cells,excels,[UNK]
exerpt,excerpt,exert,exempt,excerpt,correct
exerpts,excerpts,exerts,exerts,excerpts,used
excecute,execute,execute,execute,execute,murder
excecuted,executed,executed,executed,executed,used
excecutes,executes,executes,executed,executes,not
excecuting,executing,executing,executing,executing,used
excecution,execution,execution,execution,execution,omitted
exampt,exempt,exempt,exempt,exempt,omitted
extered,exerted,entered,entered,entered,used
exibition,exhibition,exhibition,exhibition,exhibition,omitted
exibitions,exhibitions,exhibitions,exhibition,exhibitions,omitted
existance,existence,existence,existence,existence,unknown
existant,existent,existent,distant,existent,unknown
exoskelaton,exoskeleton,exoskeleton,exoskelaton,exoskeleton,[UNK]
spects,expects,aspects,aspects,sects,[UNK]
expell,expel,expel,expel,expel,[UNK]
expells,expels,expels,expelled,expels,used
expalin,explain,explain,explain,explain,[UNK]
exploititive,exploitative,exploitative,exploititive,exploitative,used
extint,extant,extent,extent,extinct,[UNK]
exerternal,external,external,external,external,omitted
extint,extinct,extent,extent,extinct,[UNK]
extrordinarily,extraordinarily,extraordinarily,extraordinarily,extraordinarily,correct
extrordinary,extraordinary,extraordinary,extraordinary,extraordinary,[UNK]
extraterrestial,extraterrestrial,extraterrestrial,extraterrestial,extraterrestrial,omitted
extravagent,extravagant,extravagant,extravagant,extravagant,missing
eyars,eyas,years,years,years,e
faciliate,facilitate,facilitate,facilitate,facilitate,[UNK]
faciliated,facilitated,facilitated,facilitated,facilitated,omitted
famoust,famous,famous,famous,famous,p
fanatism,fanaticism,fanatic,fatalism,fanaticism,[UNK]
facinated,fascinated,fascinated,laminated,fascinated,unknown
feasable,feasible,feasible,feasible,feasible,missing
fiel,feel,feel,field,file,l
fiels,feels,feels,field,files,[UNK]
ficticious,fictitious,fictitious,fictitious,fictitious,unknown
fictious,fictitious,fictions,factious,factious,not
fiel,field,feel,field,file,l
fiels,fields,feels,field,files,[UNK]
filiament,filament,filament,filament,filament,[UNK]
fiel,file,feel,field,file,l
fiels,files,feels,field,files,[UNK]
fianlly,finally,finally,finally,finally,irish
finaly,finally,finally,finally,Finlay,omitted
financialy,financially,financial,financial,financially,[UNK]
fidn,find,find,find,find,n
firts,first,first,first,forts,[UNK]
fleed,fled,feed,fled,fled,[UNK]
firts,flirts,first,first,forts,[UNK]
fluorish,flourish,flourish,flourish,flourish,[UNK]
florescent,fluorescent,florescent,florescent,florescent,missing
forbad,forbade,forbad,forbade,forbade,[UNK]
forhead,forehead,forehead,forehead,forehead,c
foriegn,foreign,foreign,foreign,foreign,[UNK]
formost,foremost,foremost,foremost,foremost,used
forunner,forerunner,founder,founder,forerunner,[UNK]
forfiet,forfeit,forfeit,forfeit,forfeit,for
fomr,form,for,for,form,r
formallize,formalize,formalize,normalize,formalise,[UNK]
formallized,formalized,formalized,normalized,formalised,used
fourty,forty,fourth,forty,forty,c
faught,fought,caught,caught,fraught,not
fougth,fought,fought,fourth,fought,[UNK]
foudn,found,found,found,found,[UNK]
foundaries,foundries,boundaries,boundaries,foundries,[UNK]
foundary,foundry,boundary,boundary,foundry,missing
fleed,freed,feed,fled,fled,[UNK]
freind,friend,friend,friend,Friend,r
firends,friends,friends,friends,Friends,[UNK]
fomr,from,for,for,form,r
fundametal,fundamental,fundamental,fundamental,fundamental,[UNK]
fundametals,fundamentals,fundamentals,fundamentals,fundamentals,[UNK]
funguses,fungi,funguses,fungus,fungus's,[UNK]
furuther,further,further,further,further,[UNK]
gae,gale,gave,gave,Gaea,e
gae,game,gave,gave,Gaea,e
gasses,gases,gasses,masses,gasses,gas
geneologies,genealogies,genealogies,geneologies,genealogies,[UNK]
geneology,genealogy,genealogy,geology,genealogy,gene
generaly,generally,general,general,generally,general
genialia,genitalia,genitalia,genial,genitalia,latin
godess,goddess,goddess,goddess,goddess,god
godesses,goddesses,goddesses,guesses,goddesses,god
gogin,going,login,login,Gorgon,[UNK]
goign,going,going,going,going,go
gonig,going,going,going,going,[UNK]
oging,going,going,going,going,og
gaurd,gourd,guard,guard,guard,[UNK]
goverment,government,government,government,government,omitted
govorment,government,government,government,government,[UNK]
govermental,governmental,governmental,governmental,governmental,unknown
govormental,governmental,governmental,governmental,governmental,[UNK]
gouvener,governor,souvenir,gouverneur,Governor,[UNK]
governer,governor,governor,governor,Governor,unknown
grafitti,graffiti,graffiti,gritti,graffiti,e
grammer,grammar,grammar,grammar,crammer,[UNK]
gramatically,grammatically,dramatically,dramatically,grammatically,correct
grammaticaly,grammatically,grammatical,grammatical,grammatically,[UNK]
greatful,grateful,grateful,dreadful,grateful,great
greatfully,gratefully,dreadfully,gratefully,gratefully,great
gratuitious,gratuitous,gratuitous,gratuitous,gratuitous,correct
gerat,great,great,great,great,:
graet,great,great,great,grate,blank
grat,great,great,great,grate,:
greif,grief,grief,grief,grief,blank
groupsex,group_sex,groups,groups,group sex,used
grwo,grow,grow,grow,grow,[UNK]
gunanine,guanine,guanine,gunanine,guanine,[UNK]
guarentee,guarantee,guarantee,guarantee,guarantee,[UNK]
garanteed,guaranteed,guaranteed,guaranteed,guaranteed,[UNK]
guarenteed,guaranteed,guaranteed,guaranteed,guaranteed,[UNK]
guranteed,guaranteed,guaranteed,guaranteed,guaranteed,[UNK]
guarentees,guarantees,guarantees,guarantees,guarantees,used
gaurd,guard,guard,guard,guard,[UNK]
guerrila,guerilla,guerrilla,guerrilla,guerrilla,unknown
guerrilas,guerillas,guerrillas,guerrillas,guerrillas,[UNK]
guerrila,guerrilla,guerrilla,guerrilla,guerrilla,unknown
guerrilas,guerrillas,guerrillas,guerrillas,guerrillas,[UNK]
guidence,guidance,guidance,guidance,guidance,[UNK]
guttaral,guttural,guttural,guttural,guttural,[UNK]
gutteral,guttural,guttural,guttural,guttural,latin
habaeus,habeas,abacus,habeus,Haber's,[UNK]
habeus,habeas,hates,habeus,Haber's,[UNK]
ahppen,happen,happen,happen,happen,[UNK]
hapen,happen,happen,happen,happen,[UNK]
hapened,happened,happened,happened,happened,omitted
happended,happened,happened,happened,appended,used
hapening,happening,happening,happening,happening,[UNK]
harras,harass,arras,harris,arras,[UNK]
harrassing,harass,harassing,harassing,harassing,[UNK]
harased,harassed,harassed,harassed,harassed,omitted
harrased,harassed,harassed,narrated,harassed,omitted
harases,harasses,harass,horses,harasses,[UNK]
harrases,harasses,arrases,harrases,arrases,[UNK]
harrasing,harassing,harassing,narrating,harassing,[UNK]
harasment,harassment,harassment,harasment,harassment,[UNK]
harrasment,harassment,harassment,harrasment,harassment,[UNK]
hace,hare,have,have,have,e
ahev,have,ahem,the,ahem,[UNK]
ahve,have,have,have,have,[UNK]
haev,have,have,have,have,[UNK]
hvae,have,have,have,have,h
hvea,have,uvea,he,have,[UNK]
hvaing,having,having,having,having,[UNK]
haev,heave,have,have,have,[UNK]
hvea,heave,uvea,he,have,[UNK]
inheritage,heritage,inheritance,inheritance,in heritage,inherit
heros,heroes,heros,hero,hero's,hero
heterogenous,heterogeneous,heterogenous,heterogenous,heterogeneous,unknown
wholy,holy,whole,whole,wholly,not
hydropilic,hydrophilic,hydrophilic,hydropilic,hydrophilic,correct
hydropobic,hydrophobic,hydroponic,hydrophobia,hydrophobic,[UNK]
